add_these_pw_job_title_9089,agent_city,agent_firm_name,agent_state,application_type,case_no,case_number,case_received_date,case_status,class_of_admission,country_of_citizenship,country_of_citzenship,decision_date,employer_address_1,employer_address_2,employer_city,employer_country,employer_decl_info_title,employer_name,employer_num_employees,employer_phone,employer_phone_ext,employer_postal_code,employer_state,employer_yr_estab,foreign_worker_info_alt_edu_experience,foreign_worker_info_birth_country,foreign_worker_info_city,foreign_worker_info_education,foreign_worker_info_education_other,foreign_worker_info_inst,foreign_worker_info_major,foreign_worker_info_postal_code,foreign_worker_info_rel_occup_exp,foreign_worker_info_req_experience,foreign_worker_info_state,foreign_worker_info_training_comp,foreign_worker_ownership_interest,foreign_worker_yr_rel_edu_completed,fw_info_alt_edu_experience,fw_info_birth_country,fw_info_education_other,fw_info_postal_code,fw_info_rel_occup_exp,fw_info_req_experience,fw_info_training_comp,fw_info_yr_rel_edu_completed,fw_ownership_interest,ji_foreign_worker_live_on_premises,ji_fw_live_on_premises,ji_live_in_dom_svc_contract,ji_live_in_domestic_service,ji_offered_to_sec_j_foreign_worker,ji_offered_to_sec_j_fw,job_info_alt_cmb_ed_oth_yrs,job_info_alt_combo_ed,job_info_alt_combo_ed_exp,job_info_alt_combo_ed_other,job_info_alt_field,job_info_alt_field_name,job_info_alt_occ,job_info_alt_occ_job_title,job_info_alt_occ_num_months,job_info_combo_occupation,job_info_education,job_info_education_other,job_info_experience,job_info_experience_num_months,job_info_foreign_ed,job_info_foreign_lang_req,job_info_job_req_normal,job_info_job_title,job_info_major,job_info_training,job_info_training_field,job_info_training_num_months,job_info_work_city,job_info_work_postal_code,job_info_work_state,naics_2007_us_code,naics_2007_us_title,naics_code,naics_title,naics_us_code,naics_us_code_2007,naics_us_title,naics_us_title_2007,orig_case_no,orig_file_date,preparer_info_emp_completed,preparer_info_title,pw_amount_9089,pw_determ_date,pw_expire_date,pw_job_title_908,pw_job_title_9089,pw_level_9089,pw_soc_code,pw_soc_title,pw_source_name_9089,pw_source_name_other_9089,pw_track_num,pw_unit_of_pay_9089,rec_info_barg_rep_notified,recr_info_barg_rep_notified,recr_info_coll_teach_comp_proc,recr_info_coll_univ_teacher,recr_info_employer_rec_payment,recr_info_first_ad_start,recr_info_job_fair_from,recr_info_job_fair_to,recr_info_on_campus_recr_from,recr_info_on_campus_recr_to,recr_info_pro_org_advert_from,recr_info_pro_org_advert_to,recr_info_prof_org_advert_from,recr_info_prof_org_advert_to,recr_info_professional_occ,recr_info_radio_tv_ad_from,recr_info_radio_tv_ad_to,recr_info_second_ad_start,recr_info_sunday_newspaper,recr_info_swa_job_order_end,recr_info_swa_job_order_start,refile,ri_1st_ad_newspaper_name,ri_2nd_ad_newspaper_name,ri_2nd_ad_newspaper_or_journal,ri_campus_placement_from,ri_campus_placement_to,ri_coll_tch_basic_process,ri_coll_teach_pro_jnl,ri_coll_teach_select_date,ri_employee_referral_prog_from,ri_employee_referral_prog_to,ri_employer_web_post_from,ri_employer_web_post_to,ri_job_search_website_from,ri_job_search_website_to,ri_layoff_in_past_six_months,ri_local_ethnic_paper_from,ri_local_ethnic_paper_to,ri_posted_notice_at_worksite,ri_pvt_employment_firm_from,ri_pvt_employment_firm_to,ri_us_workers_considered,schd_a_sheepherder,us_economic_sector,wage_offer_from_9089,wage_offer_to_9089,wage_offer_unit_of_pay_9089,wage_offered_from_9089,wage_offered_to_9089,wage_offered_unit_of_pay_9089
,,,,PERM,A-09225-59762,,,Denied,H-1B,,INDIA,1/11/2012,5775 MOREHOUSE DRIVE,,SAN DIEGO,,,"QUALCOMM, INC.",,,,92121,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Diego,,CA,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,,,,,,,,,,,76232,,,,Computer Systems Analysts,Level III,15-1051.00,Computer Systems Analysts,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced Mfg,76232,104600,yr,,,
,,,,PERM,A-09226-59937,,,Denied,Not in USA,,POLAND,12/21/2011,19 OAK HILL STREET,,STAMFORD,,,WORLD MAX LLC,,,,6902,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stamford,,CT,23,Construction,,,,,,,,,,,13.53,,,,cabinet maker,Level II,51-7011.00,Cabinetmakers and Bench Carpenters,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction,13.53,,hr,,,
,,,,PERM,A-09226-59979,,,Denied,H-2B,,MEXICO,10/20/2011,6709 GREEN VALLEY CIR,,AUBREY,,,M J CONCRETE,,,,76227,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUBREY,,TX,238110,Poured Concrete Foundation and Structure Contractors,,,,,,,,,,,33675,,,,CEMENT MASONS AND CONCRETE FINISHERS,Level IV,47-2051.00,Cement Masons and Concrete Finishers,SCA,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction,33675,,yr,,,
,,,,PERM,A-09229-60210,,,Certified-Expired,B-1,,PHILIPPINES,10/27/2011,1317 ROXANNA RD NW,,WASHINGTON,,,JOHN LISTER,,,,20012,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,,DC,81411,Private Households,,,,,,,,,,,17493,,,,Maids and Housekeeping Cleaners,Level I,37-2012.00,Maids and Housekeeping Cleaners,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Economic Sector,10,,hr,,,
,,,,PERM,A-09229-60259,,,Certified,H-1B1,,INDIA,12/1/2011,ATTN: LISA SORENSEN,414 EAST CLARK STREET,VERMILLION,,,THE UNIVERSITY OF SOUTH DAKOTA,,,,57069,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vermillion,,SD,611310,"Colleges, Universities, and Professional Schools",,,,,,,,,,,42380,,,,Instuctor of Chemistry,Level I,25-1052.00,"Chemistry Teachers, Postsecondary",OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educational Services,42380,,yr,,,
,,,,PERM,A-09230-60314,,,Denied,H-1B,,CHINA,1/30/2012,"C/O JAMES HAMMERSCHMIDT, DIRECTOR, INTERNATIONAL SERVICES (M/C 326)","1200 WEST HARRISON STREET, 2160 SSB",CHICAGO,,,UNIVERSITY OF ILLINOIS AT CHICAGO,,,,60607,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,IL,611310,"Colleges, Universities, and Professional Schools",,,,,,,,,,,33592,,,,Senior Research Specialist in Health Sciences,Level I,19-1029.00,"Biological Scientists, All Other",OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educational Services,43000,,yr,,,
,,,,PERM,A-09230-60326,,,Withdrawn,H-1B,,JAPAN,12/21/2011,47690 E. ANCHOR COURT,,PLYMOUTH,,,FREUDENBERG-NOK GENERAL PARTNERSHIP,,,,48187,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plymouth,,MI,326299,All Other Rubber Product Manufacturing,,,,,,,,,,,62296,,,,Application/Project Engineer,Level I,15-1031.00,"Computer Software Engineers, Applications",OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced Mfg,70336,,yr,,,
,,,,PERM,A-09231-60483,,,Denied,H-1B1,,PHILIPPINES,2/8/2012,67 RTE 37 W RIVERWOOD,2ND FLOOR,TOMS RIVER,,,"WILHELMINA P. FERANDOS, MD",,,,8755,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOMS RIVER,,NJ,6111,Elementary and Secondary Schools,,,,,,,,,,,18.21,,,,ADMINISTRATIVE ASST.,Level IV,43-6011.00,Executive Secretaries and Administrative Assistants,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educational Services,18.21,18.21,hr,,,
,,,,PERM,A-09232-60696,,,Denied,H-1B,,TURKEY,12/21/2011,400 SEAKS RUN ROAD,,GLEN ROCK,,,"ADHESIVES RESEARCH, INC.",,,,17327,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glenn Rock,,PA,325520,Adhesive Manufacturing,,,,,,,,,,,75755,,,,Physicists,Level I,19-2012.00,Physicists,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced Mfg,75755,,yr,,,
,,,,PERM,A-09232-60713,,,Denied,H-1B,,INDIA,12/2/2011,12950 WORLDGATE DRIVE,SUITE 710,HERNDON,,,NEXIUS INC.,,,,20170,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herndon,,VA,517910,,,,,,,,,,,,106746,,,,Team Lead - Application Support,Level IV,15-1031.00,"Computer Software Engineers, Applications",OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106746,,yr,,,
,,,,PERM,A-09232-60786,,,Certified-Expired,F-1,,SOUTH KOREA,11/2/2011,5268  BUFORD HIGHWAY,SUITE D,DORAVILLE,,,WORLDWIDE COMMUNICATIONS INC.,,,,30340,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doraville,,GA,443112,"Radio, Television, and Other Electronics Stores",,,,,,,,,,,38106,,,,"Bookkeeping, Accounting, and Auditing Clerk",Level IV,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retail,38106,,yr,,,
,,,,PERM,A-09236-61059,,,Denied,H-1B,,INDIA,2/16/2012,"10 S. DEARBORN ST.,  IL1-0043",,CHICAGO,,,JPMORGAN CHASE & CO.,,,,60603,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW YORK,,NY,551112,Offices of Other Holding Companies,,,,,,,,,,,53.42,,,,FINANCIAL ANALYSTS,Level III,13-2051.00,Financial Analysts,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Economic Sector,120000,,yr,,,
,,,,PERM,A-09236-61092,,,Certified,H-1B,,INDIA,11/3/2011,"52 PARK AVE, SUITE B4",,PARK RIDGE,,,ADVANCED TECHNOLOGY CONSULTING SERVICE INC,,,,7656,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Park Ridge,,NJ,541511,Custom Computer Programming Services,,,,,,,,,,,27.46,,,,Computer Programmers,Level I,15-1021.00,Computer Programmers,SCA,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,27.46,,hr,,,
,,,,PERM,A-09237-61282,,,Denied,,,MEXICO,10/4/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALBUGUERQUE,,NM,,,,,,,,,,,,,,,,,,,51-3011.00,Bakers,OES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.32,,hr,,,
,,,,PERM,A-09238-61568,,,Denied,H-1B,,ITALY,12/21/2011,4701 MILLER STREET,,BETHESDA,,,"BETHESDA CHEVY CHASE BEER & WINE, LLC",,,,20814,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bethesda,,MD,445310,"Beer, Wine, and Liquor Stores",,,,,,,,,,,64605,,,,Retail Hospitality and Wine Manager,Level IV,11-9051.00,Food Service Managers,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retail,64605,,yr,,,
,,,,PERM,A-09238-61706,,,Certified,F-1,,SOUTH KOREA,12/1/2011,17929 S ADRIA MARU LANE,,CARSON,,,"SK GRAPHICS,INC.",,,,90746,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carson,,CA,323115,Digital Printing,,,,,,,,,,,14.05,,,,Retail Salespersons,Level IV,41-2031.00,Retail Salespersons,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced Mfg,14.05,,hr,,,
,,,,PERM,A-09238-61724,,,Certified-Expired,H-1B,,INDIA,10/18/2011,777 MARINERS ISLAND BLVD.,SUITE 300,SAN MATEO,,,"KEYNOTE SYSTEMS, INC.",,,,94404,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Mateo,,CA,541513,Computer Facilities Management Services,,,,,,,,,,,44.41,,,,"Computer Software Engineer, Systems",Level II,15-1032.00,"Computer Software Engineers, Systems Software",OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,92372.8,,yr,,,
,,,,PERM,A-09239-61829,,,Certified,H-1B,,JAPAN,12/7/2011,1175 ERIE STREET,,MARQUETTE,,,GREAT LAKES CENTER FOR YOUTH DEVELOPMENT,,,,49855,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marquette,,MI,624110,Child and Youth Services,,,,,,,,,,,14.97,,,,Cultural Program Associate,Level II,27-3031.00,Public Relations Specialists,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Economic Sector,15.48,,hr,,,
,,,,PERM,A-09240-61959,,,Certified-Expired,,,MEXICO,10/28/2011,202 WEST 96TH STREET,,NEW YORK,,,JOHN SCHREIBER JA-DAR REALTY AND REMODELING INC.,,,,10024,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW YORK,,NY,238350,Finish Carpentry Contractors,,,,,,,,,,,13.16,,,,Cabinetmaker,Level II,51-7011.00,Cabinetmakers and Bench Carpenters,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction,13.16,,hr,,,
,,,,PERM,A-09240-61960,,,Certified,F-1,,SOUTH KOREA,12/16/2011,"3010 LBJ FREEWAY, SUITE 745",,DALLAS,,,"KOINFO IT & WEB SOLUTIONS, INC",,,,75234,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,,TX,541511,Custom Computer Programming Services,,,,,,,,,,,80413,,,,Computer Programmer,Level III,15-1021.00,Computer Programmers,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,80420,,yr,,,
,,,,PERM,A-09243-62157,,,Certified,EWI,,MEXICO,2/6/2012,300 UNDERHILL ROAD,,"SCARSDALE,",,,"SUNNINGDALE COUNTRY CLUB, INC.",,,,10583,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCARSDALE,",,NY,713910,Golf Courses and Country Clubs,,,,,,,,,,,21.88,,,,Chefs and Head Cooks,Level II,35-1011.00,Chefs and Head Cooks,Other,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Economic Sector,21.88,,hr,,,
,,,,PERM,A-09243-62190,,,Certified,H-1B1,,SOUTH KOREA,11/16/2011,"2000 ROYAL LANE, SUITE 200",,DALLAS,,,"NEWS KOREA TEXAS, INC.",,,,75229,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,,TX,511110,Newspaper Publishers,,,,,,,,,,,32427,,,,Science Newswriter,Level I,27-3022.00,Reporters and Correspondents,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Economic Sector,32500,,yr,,,
,,,,PERM,A-09243-62276,,,Denied,J-1,,UNITED KINGDOM,1/24/2012,31312 VIA COLINAS,SUITE 109,WESTLAKE VILLAGE,,,"BASIL EQUIPMENT, INC.",,,,91362,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Westlake Village,,CA,541330,Engineering Services,,,,,,,,,,,20.24,,,,Crane Test Engineer,Level II,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aerospace,72000,,yr,,,
,,,,PERM,A-09244-62379,,,Certified-Expired,H-1B,,CANADA,10/26/2011,"7444 SECOND AVENUE,",4TH FLOOR ALBERT KAHN BLDG.,DETROIT,,,SCHOOL DISTRICT OF THE CITY OF DETROIT,,,,48202,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DETROIT,,MI,61111,Elementary and Secondary Schools,,,,,,,,,,,38570,,,,School Teacher,Level I,25-2042.00,"Special Education Teachers, Middle School",Other,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educational Services,39647,50885,yr,,,
,,,,PERM,A-09244-62412,,,Certified,H-1B,,INDIA,11/18/2011,100 ABBOTT PARK ROAD,,ABBOTT PARK,,,ABBOTT LABORATORIES,,,,60064,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abbott Park,,IL,325412,Pharmaceutical Preparation Manufacturing,,,,,,,,,,,73840,,,,Marketing Managers,Level I,11-2021.00,Marketing Managers,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced Mfg,73840,101503,yr,,,
,,,,PERM,A-09244-62500,,,Certified,H-1B,,PHILIPPINES,11/18/2011,1001 MOREHEAD SQUARE,SUITE 300,CHARLOTTE,,,"BDO SEIDMAN, LLP",,,,28203,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Houston,,TX,5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",,,,,,,,,,,76107,,,,Auditors,Level IV,13-2011.02,Auditors,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,84000,,yr,,,
,,,,PERM,A-09245-62600,,,Certified-Expired,L-1,,INDIA,10/28/2011,5 CONCOURSE PARKWAY,SUITE 3200,ATLANTA,,,"EBIX, INC.",,,,30328,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Addison,,TX,541512,Computer Systems Design Services,,,,,,,,,,,62421,,,,"Computer Software Engineers, Applications",Level I,15-1031.00,"Computer Software Engineers, Applications",OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,62421,,yr,,,
,,,,PERM,A-09245-62740,,,Certified,L-1,,PERU,11/10/2011,"1250 24TH STREET, NW",,WASHINGTON,,,WORLD WILDLIFE FUND,,,,20037,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,,DC,813312,"Environment, Conservation and Wildlife Organizations",,,,,,,,,,,58510,,,,Accountants,Level II,13-2011.01,Accountants,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Economic Sector,71400,,yr,,,
,,,,PERM,A-09246-62826,,,Withdrawn,H-1B,,INDIA,2/1/2012,1301 SEMINOLE BLVD. SUITE 170,,LARGO,,,"BELL SYSTEMS, INC.",,,,33770,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tampa,,FL,541511,Custom Computer Programming Services,,,,,,,,,,,25.42,,,,Computer Systems Analysts,Level I,15-1051.00,Computer Systems Analysts,SCA,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,60000,,yr,,,
,,,,PERM,A-09246-62837,,,Denied,H-1B,,INDIA,12/28/2011,2571 BAGLYOS CIRCLE,SUITE B-32,BETHLEHEM,,,"I & I SOFTWARE, INC",,,,18020,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bethlehem,,PA,541511,Custom Computer Programming Services,,,,,,,,,,,71760,,,,Computer Software Engineer,Level II,15-1031.00,"Computer Software Engineers, Applications",OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,71800,,yr,,,
,,,,PERM,A-09246-62878,,,Certified,H-1B1,,COLOMBIA,11/30/2011,360 WEST 31ST SUIT 703,,NEW-YORK,,,CORNERSTONE ARCHITECTS,,,,10001,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,,NY,541310,Architectural Services,,,,,,,,,,,26.68,,,,Masonary Inspector,Level I,17-2051.00,Civil Engineers,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Economic Sector,26.68,,hr,,,
,,,,PERM,A-09246-62902,,,Certified,,,INDIA,11/30/2011,1544 SAWDUST RD,SUITE# 270,THE WOODLANDS,,,AA SOFTWARE & NETWORKING INC.,,,,77380,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Woodlands,,TX,541511,Custom Computer Programming Services,,,,,,,,,,,62670,,,,Programmer Analyst,Level I,15-1031.00,"Computer Software Engineers, Applications",OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,62670,,yr,,,
,,,,PERM,A-09247-63070,,,Certified-Expired,H-1B,,INDIA,10/31/2011,535 TERRY AVENUE NORTH,,SEATTLE,,,AMAZON WEB SERVICES LLC,,,,98109,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herndon,,VA,454111,Electronic Shopping,,,,,,,,,,,82514,,,,"Computer Software Engineers, Applications",Level II,15-1031.00,"Computer Software Engineers, Applications",OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retail,106000,131200,yr,,,
,,,,PERM,A-09247-63113,,,Certified,H-1B,,INDIA,11/10/2011,"52 PARK AVE, SUITE B4",,PARK RIDGE,,,ADVANCED TECHNOLOGY CONSULTING SERVICE INC,,,,7656,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Park Ridge,,NJ,541511,Custom Computer Programming Services,,,,,,,,,,,27.46,,,,Computer Programmers,Level I,15-1021.00,Computer Programmers,SCA,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,27.46,,hr,,,
,,,,PERM,A-09251-63392,,,Certified,H-1B,,IRELAND,2/29/2012,6505 KAISER DRIVE,,FREMONT,,,"LOGITECH, INC",,,,94555,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fremont,,CA,541511,Custom Computer Programming Services,,,,,,,,,,,157352,,,,General & Operations Managers,Level IV,11-1021.00,General and Operations Managers,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,300000,,yr,,,
,,,,PERM,A-09252-63596,,,Certified,H-1B,,KUWAIT,2/29/2012,345 PARK AVENUE,41ST FLOOR,NEW YORK,,,"WAFRA INVESTMENT ADVISORY GROUP, INC.",,,,10154,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,,NY,523930,Investment Advice,,,,,,,,,,,82014,,,,Financial Analysts,Level II,13-2051.00,Financial Analysts,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,90000,,yr,,,
,,,,PERM,A-09253-63726,,,Certified,EWI,,ECUADOR,11/18/2011,POBOX 328,,PLEASANTVILLE,,,DCB TREE AND LANDSCAPES INC.,,,,10570,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pleasantville,,NY,561730,Landscaping Services,,,,,,,,,,,9.19,,,,Landscaping and Groundskeeping Worker,Level I,37-3011.00,Landscaping and Groundskeeping Workers,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Economic Sector,9.19,,hr,,,
,,,,PERM,A-09253-63867,,,Certified,E-2,,JAPAN,2/21/2012,2688 WESTHILLS COURT,,SIMI VALLEY,,,"HIROSE ELECTRIC (U.S.A.), INC.",,,,93065,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livonia,,MI,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,,,,,,,,,,,33.43,,,,Mechanical Engineer,Level II,17-2141.00,Mechanical Engineers,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced Mfg,33.43,,hr,,,
,,,,PERM,A-09254-63892,,,Certified-Expired,Parolee,,EL SALVADOR,10/7/2011,245 AVERY RD,,GARRISON,,,GIORGIO SPANU,,,,10524,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garrison,,NY,111,Crop Production,,,,,,,,,,,15.78,,,,Farmer,Level II,11-9012.00,Farmers and Ranchers,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agribusiness,15.78,,hr,,,
,,,,PERM,A-09254-63953,,,Certified,H-1B,,INDIA,11/23/2011,6123-A OAKBROOK PARKWAY,,NORCROSS,,,"COMPREHENSIVE BUSINESS ACCOUNTING, INC.",,,,30093,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Norcross,,GA,541219,Other Accounting Services,,,,,,,,,,,65250,,,,Accountants,Level III,13-2011.01,Accountants,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,65250,,yr,,,
,,,,PERM,A-09254-64010,,,Certified,H-1B,,INDIA,11/3/2011,28 NEWELL ST,,HILLSBOROUGH,,,"AMERICAN STAR ALLIANCE, INC",,,,8844,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hillsborough,,NJ,541511,Custom Computer Programming Services,,,,,,,,,,,37.07,,,,"Computer Software Engineers, Applications",Level II,15-1031.00,"Computer Software Engineers, Applications",OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,37.07,,hr,,,
